,Bib,M/F,"X1, Age","X2, 5K Pace","X3, Half Pace","Y, Official Time","X4, Gender","X5, Wave: Elite","X6, Wave: One","X7, Wave: Two","X8, Wave: Three",Index,Yfit,Res,"lnY, Official Time",lnYfit,"Res, lnY",ti,hii,DFFITS,Cooks distance
4224,6894,M,51,4.454,4.51949,197.95,0,0,1,0,0,2154,204.5799467061224,-6.629946706122411,5.288014473552139,5.309703292166736,-0.021688818614596705,-0.513618187972766,0.00046167298597865516,-0.0110384450524535,1.3539342076597866e-05
14632,25542,M,45,5.294,5.39495,236.48,0,0,0,0,0,7356,251.56645761108632,-15.086457611086331,5.465863637759837,5.513002405285837,-0.047138767526000436,-1.1688948968784778,0.0006441939772754441,-0.029677254614367463,9.7857216927831e-05
22874,28347,F,50,5.636,6.37611,287.2,1,0,0,0,0,11381,297.23258384624995,-10.032583846249963,5.660178837174069,5.689236816792017,-0.029057979617948426,-0.7774303506118274,0.0009804033503609513,-0.02435436895107918,6.590589986665236e-05
12136,7077,M,46,4.346,4.38678,228.12,0,0,1,0,0,6107,198.7785765161327,29.341423483867317,5.429871806288338,5.286352471984101,0.14351933430423713,2.2733821154256098,0.0003699428880810485,0.04373409332790295,0.00021245177107949325
2440,2640,M,33,4.14,4.23984,187.9,0,0,1,0,0,1240,194.28104692778766,-6.381046927787651,5.23590990641942,5.266104178259652,-0.030194271840231934,-0.49430298583186294,0.0003293693264400221,-0.008972352821231447,8.945303677352763e-06
8629,12446,M,50,4.97,4.93661,216.0,0,0,0,1,0,4391,224.09674828568976,-8.096748285689756,5.375278407684165,5.408681606684101,-0.03340319899993549,-0.627240469249257,0.0004199656102640779,-0.012856778119110599,1.836715052208769e-05
15551,23168,F,57,5.644,5.6727099999999995,239.7,1,0,0,0,1,7827,251.82258218862995,-12.122582188629963,5.479388141440339,5.52622460718613,-0.046836465745791145,-0.9391705339804767,0.0005020566559129937,-0.021048922565626675,4.9229012033288644e-05
15370,10683,M,56,4.8260000000000005,5.04704,239.08,0,0,0,1,0,7734,233.0102145400337,6.069785459966312,5.476798223956053,5.442447405255474,0.03435081870057921,0.4702188983194219,0.0004482576777687348,0.009957752044899248,1.1018076515771062e-05
22436,21464,F,46,5.5,6.13959,282.85,1,0,0,0,1,11167,283.05734594751283,-0.2073459475128061,5.644916721789165,5.641731785952163,0.0031849358370017455,-0.01606400482545914,0.0006101636044440668,-0.00039692596669503474,1.7506908892999728e-08
13473,14340,F,29,5.17,5.29684,232.65,1,0,0,1,0,6757,236.2585690136605,-3.6085690136604853,5.449535178290658,5.453381666549398,-0.0038464882587403437,-0.27956021708007156,0.0005217721730338455,-0.006387474169107789,4.533631268279169e-06
20077,24775,M,70,5.894,6.04242,263.45,0,0,0,0,0,10032,278.5331334158894,-15.083133415889392,5.573863596655295,5.622402460201113,-0.04853886354581771,-1.1687583717665133,0.0008511873167125698,-0.03411318097619508,0.00012929742082153786
2145,4069,M,34,4.364,4.34791,185.95,0,0,1,0,0,1080,196.7304881109018,-10.780488110901814,5.225477820371079,5.276856018327227,-0.051378197956148064,-0.8351194315865843,0.000335815214261432,-0.015306352355253915,2.6032200389367132e-05
